City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
561,crane,31.3974,-102.3501,287.39,26,43,4.23,US,1709467317
562,jayapura,-2.5333,140.7,298.81,90,95,1.99,ID,1709467318
563,oliver,49.1831,-119.5524,270.95,93,52,0.0,CA,1709467204
564,virginia beach,36.8529,-75.978,282.16,97,20,0.0,US,1709467023
565,mayya,61.7333,130.2811,246.77,100,100,0.92,RU,1709467319
566,yendi,9.4427,-0.0099,310.93,28,100,2.53,GH,1709467320
567,lata,40.1629,-8.3327,288.05,76,90,4.48,PT,1709467321
568,brezina,33.0989,1.2608,290.11,32,0,12.59,DZ,1709467322
569,pearsall,28.8922,-99.095,291.55,97,100,2.41,US,1709467322
570,zaqatala,41.6336,46.6433,280.41,49,100,2.06,AZ,1709467323
571,calbuco,-41.768,-73.1273,281.71,72,0,6.5,CL,1709467230
572,malaya vishera,58.8454,32.2222,276.93,77,30,3.49,RU,1709467324
573,xinyuan,37.3,99.0,274.52,28,28,4.0,CN,1709467324
574,rouissat,31.9243,5.3502,296.19,13,0,6.17,DZ,1709467325
575,smithers,54.7804,-127.1743,260.33,72,100,4.63,CA,1709467214
576,mazagao,-0.115,-51.2894,299.18,83,100,2.32,BR,1709467326
577,port macquarie,-31.4333,152.9167,295.31,92,41,2.59,AU,1709467327
